_id,Year,State/Country,Classification,Industry,Person ('000)
690,2019,W.P. LABUAN,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,1.5
691,2019,W.P. LABUAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",0.2
692,2019,W.P. LABUAN,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,0.4
693,2019,W.P. LABUAN,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,0.3
694,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,Total,38.1
695,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",0
696,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,0
697,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,0.7
698,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",0.1
699,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",0.3
700,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,0.7
701,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",1.4
702,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,0.7
703,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,2.5
704,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,1.1
705,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,0.9
706,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,0.2
707,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",1.1
708,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,0.9
709,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,22.1
710,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,Education,2.5
711,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,2
712,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",0.1
713,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,0.1
714,2019,W.P. PUTRAJAYA,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,0.8
715,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Total,14776
716,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,90.8
717,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,1257.8
718,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,697.9
719,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,1473.4
720,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,216.4
721,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,338.6
722,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,97.2
723,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,747.6
724,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,720.2
725,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Education,988.7
726,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,551.2
727,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,264.8
728,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,103.9
729,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",1570.3
730,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",85.6
731,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",68.8
732,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,2499.9
733,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",367.7
734,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",88.6
735,2018,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2544.6
736,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Total,1693.3
737,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,6.3
738,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,128.5
739,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,83.3
740,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,192.4
741,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,9.4
742,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,29.7
743,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,13.9
744,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,79.4
745,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,60.4
746,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Education,101.7
747,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,67.6
748,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,30.3
749,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,10.5
750,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",129.2
751,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",6.9
752,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",7.9
753,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,400.3
754,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",35.1
755,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",14.3
756,2018,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",286.3
757,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Total,909.2
758,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,1.3
759,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,56.7
760,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,29.9
761,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,103.9
762,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,2.9
763,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,9
764,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,3
765,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,45.7
766,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,49.5
767,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Education,73.3
768,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,41.8
769,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,12.5
770,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,2.2
771,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",127.3
772,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",3.4
773,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",2.1
774,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,185.7
775,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",8.5
776,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",8.2
777,2018,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",142.3
778,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Total,683.3
779,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,2.6
780,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,80.2
781,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,19.3
782,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,79.3
783,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,2.5
784,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,7.2
785,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,0.3
786,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,32.5
787,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,36.1
788,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Education,59.7
789,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,37.5
790,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,8.5
791,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,2.1
792,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",95.4
793,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",1.2
794,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",2.5
795,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,62.8
796,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",4.7
797,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",2.7
798,2018,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",146.4
799,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Total,416.7
800,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,3
801,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,26.9
802,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,11.9
803,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,51.2
804,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,4.1
805,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,9.2
806,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,1.6
807,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,21.9
808,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,28.9
809,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Education,34.9
810,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,20.2
811,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,5.3
812,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,2.8
813,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",15.1
814,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",3.6
815,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",2.2
816,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,97.5
817,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",7.6
818,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",2.4
819,2018,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",66.4
820,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Total,488.6
821,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,3.2
822,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,39.2
823,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,30.3
824,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,52
825,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,2.7
826,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,12.1
827,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,4
828,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,24.6
829,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,33.5
830,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Education,37
831,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,22.2
832,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,8.8
833,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,4.9
834,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",42.7
835,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",2.4
836,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",3.9
837,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,81
838,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",6.7
839,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",3.7
840,2018,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",73.7
841,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Total,716.6
842,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,3
843,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,45.3
844,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,24.3
845,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,78.8
846,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,2.3
847,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,7.3
848,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,1.3
849,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,32.1
850,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,41
851,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Education,61.5
852,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,32.3
853,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,11.2
854,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,2
855,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",159.7
856,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",2.5
857,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",2.5
858,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,85.4
859,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",5.9
860,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",6.3
861,2018,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",111.8
862,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Total,830.8
863,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,0.5
864,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,56.7
865,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,45.6
866,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,79.3
867,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,7.4
868,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,18.8
869,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,5.3
870,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,28.7
871,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,30.7
872,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Education,43.6
873,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,29.7
874,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,13.4
875,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,6.7
876,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",13
877,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",5.7
878,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",3.7
879,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,286.7
880,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",21.7
881,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",3.5
882,2018,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",130
883,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Total,1034.8
884,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,5.7
885,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,85.5
886,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,33.3
887,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,127.9
888,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,5.4
889,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,17.4
890,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,3.6
891,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,47
892,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,63.7
893,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Education,78.1
894,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,46.5
895,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,23.8
896,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,3.1
897,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",99
898,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",7.6
899,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",8.6
900,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,167.4
901,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",18.1
902,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",8.1
903,2018,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",185.1
904,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Total,104
905,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,0.4
906,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,7.5
907,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,2.2
908,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,16.4
909,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,0.3
910,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,1.3
911,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,0
912,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,7.6
913,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,10.2
914,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Education,9.8
915,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,5.4
916,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,1.4
917,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,0.6
918,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",12.7
919,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",0.4
920,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",0.3
921,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,9
922,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",0.8
923,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",0.6
924,2018,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",17.1
925,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Total,3446.7
926,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,28.4
927,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,309.1
928,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,235.7
929,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,302
930,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,122.2
931,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,132.1
932,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,36
933,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,207.5
934,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,100
935,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Education,225.9
936,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,116.1
937,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,71.2
938,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,24.1
939,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",67.9
940,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",23.1
941,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",17.2
942,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,693.7
943,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",148.9
944,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",18.2
945,2018,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",567.2
946,2018,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Total,447.8
947,2018,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,13.9
948,2018,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,57.9
949,2018,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,14.3
950,2018,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,55.5
951,2018,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,1.4
952,2018,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,3.9
953,2018,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,0.4
954,2018,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,25.8
